service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA","1","1","1","1","1","1","1","20241215","20251213"
"TA+00x20","1","1","1","1","1","0","0","20241215","20251213"
"TA+01y20","1","1","1","1","0","0","1","20241215","20251213"
"TA+02y20","0","0","0","0","0","1","1","20241215","20251213"
"TA+03x20","0","0","0","0","0","1","0","20241215","20251213"
"TA+07x20","0","0","0","0","0","0","1","20241215","20251213"
"TA+07y20","0","0","0","0","0","1","1","20241215","20251213"
"TA+08x20","1","1","1","1","1","1","1","20241215","20251213"
"TA+08y20","0","0","1","0","1","0","1","20241215","20251213"
"TA+09x20","0","0","0","0","1","1","0","20241215","20251213"
"TA+09y20","1","1","1","1","1","1","1","20241215","20251213"
"TA+0by20","1","0","0","0","0","0","0","20241215","20251213"
"TA+0dy20","0","1","0","0","0","1","1","20241215","20251213"
"TA+0ey20","0","0","1","0","1","0","0","20241215","20251213"
"TA+0hx20","1","1","1","1","1","1","0","20241215","20251213"
"TA+0jy20","0","0","0","0","0","1","1","20241215","20251213"
"TA+0ly20","1","1","1","1","1","1","1","20241215","20251213"
"TA+0my20","1","1","1","1","0","0","1","20241215","20251213"
"TA+0ny20","1","1","1","1","1","1","1","20241215","20251213"
"TA+0oy20","0","0","0","0","0","0","1","20241215","20251213"
"TA+0pw20","1","1","1","1","0","0","1","20241215","20251213"
"TA+0qw20","0","0","0","0","1","1","0","20241215","20251213"
"TA+0qy20","1","1","1","1","1","1","0","20241215","20251213"
"TA+0rw20","0","0","0","0","0","1","1","20241215","20251213"
"TA+0sw20","0","0","0","0","0","0","1","20241215","20251213"
"TA+0uw20","0","0","0","0","0","1","0","20241215","20251213"
"TA+0uy20","0","0","0","0","1","0","0","20241215","20251213"
"TA+0vw20","1","1","1","1","1","1","1","20241215","20251213"
"TA+0xw20","1","1","1","1","1","0","0","20241215","20251213"
"TA+0xx20","0","1","0","0","0","0","0","20241215","20251213"
"TA+0yy20","1","0","1","1","0","0","1","20241215","20251213"
"TA+10x20","0","0","0","0","0","1","1","20241215","20251213"
"TA+11y20","0","0","0","0","0","1","1","20241215","20251213"
"TA+13x20","1","1","1","1","1","0","1","20241215","20251213"
"TA+17x20","1","1","1","1","1","0","0","20241215","20251213"
"TA+17y20","0","0","0","0","1","0","1","20241215","20251213"
"TA+18x20","1","1","1","1","1","1","1","20241215","20251213"
"TA+19y20","1","1","1","1","1","1","1","20241215","20251213"
"TA+1ay20","0","1","0","0","0","0","0","20241215","20251213"
"TA+1by20","1","0","0","1","0","0","0","20241215","20251213"
"TA+1gy20","1","1","1","0","0","0","0","20241215","20251213"
"TA+1ky20","0","0","1","0","0","0","0","20241215","20251213"
"TA+1lx20","0","0","0","0","0","0","1","20241215","20251213"
"TA+1ly20","1","1","1","1","1","1","1","20241215","20251213"
"TA+1ny20","1","1","1","1","1","1","1","20241215","20251213"
"TA+1oy20","1","0","0","0","0","0","0","20241215","20251213"
"TA+1pw20","1","1","1","1","1","0","1","20241215","20251213"
"TA+1qw20","1","1","1","1","1","0","1","20241215","20251213"
"TA+1qy20","1","1","1","1","1","1","1","20241215","20251213"
"TA+1rw20","1","1","1","1","1","0","0","20241215","20251213"
"TA+1sw20","1","1","1","1","1","1","0","20241215","20251213"
"TA+1tw20","0","0","0","0","0","1","1","20241215","20251213"
"TA+1ty20","1","1","1","1","0","1","1","20241215","20251213"
"TA+1vw20","1","0","0","0","0","0","0","20241215","20251213"
