route_id,agency_id,route_short_name,route_long_name,route_type
"10-A10-j25-1","01","A10","","2"
"10-A11-j25-1","01","A11","","2"
"10-A12-j25-1","01","A12","","2"
"10-A13-j25-1","01","A13","","2"
"10-A14-j25-1","01","A14","","2"
"10-A18-j25-1","01","A18","","2"
"10-A19-j25-1","01","A19","","2"
"10-A1-j25-1","01","A1","","2"
"10-A21-j25-1","01","A21","","2"
"10-A23-j25-1","01","A23","","2"
"10-A3-j25-1","01","A3","","2"
"10-A4-j25-1","01","A4","","2"
"10-A62-j25-1","01","A62","","2"
"10-A6-j25-1","01","A6","","2"
"10-A7-j25-1","01","A7","","2"
"10-A8-j25-1","01","A8","","2"
"10-A92-j25-1","01","A92","","2"
"10-A9-j25-1","01","A9","","2"
"10-CH3-j25-1","01","CH3","","2"
"10-D17-j25-1","01","D17","","2"
"10-D9-j25-1","01","D9","","2"
"10-HU1-j25-1","01","HU1","","2"
"10-SI1-j25-1","01","SI1","","2"
"10-SK-j25-1","01","SK","","2"
"11-220-A-j25-1","01","220-A","","2"
"12-A12-j25-1","01","A12","","2"
"12-A15-j25-1","01","A15","","2"
"12-A1-j25-1","01","A1","","2"
"12-A-1-j25-1","01","A-1","","2"
"12-A3-j25-1","01","A3","","2"
"12-A85-j25-1","01","A85","","2"
"12-A86-j25-1","01","A86","","2"
"12-A88-j25-1","01","A88","","2"
"12-A91-j25-1","01","A91","","2"
"12-A92-j25-1","01","A92","","2"
"12-A94-j25-1","01","A94","","2"
"12-A99-j25-1","01","A99","","2"
"12-CH1-j25-1","01","CH1","","2"
"12-CH2-j25-1","01","CH2","","2"
"12-CZ1-j25-1","01","CZ1","","2"
"12-CZ3-j25-1","01","CZ3","","2"
"12-CZ4-j25-1","01","CZ4","","2"
"12-D10-j25-1","01","D10","","2"
"12-D11-j25-1","01","D11","","2"
"12-D16-j25-1","01","D16","","2"
"12-D19-j25-1","01","D19","","2"
"12-D1-j25-1","01","D1","","2"
"12-D3-j25-1","01","D3","","2"
"12-D5-j25-1","01","D5","","2"
"12-D9-j25-1","01","D9","","2"
"12-HU1-j25-1","01","HU1","","2"
"12-I3-j25-1","01","I3","","2"
"12-SI1-j25-1","01","SI1","","2"
"12-SI2-j25-1","01","SI2","","2"
"13-101-D-j25-1","01","101-D","","2"
"13-A10-j25-1","01","A10","","2"
"13-A12-j25-1","01","A12","","2"
"13-A13-j25-1","01","A13","","2"
"13-A14-j25-1","01","A14","","2"
"13-A17-j25-1","01","A17","","2"
"13-A-2-j25-1","01","A-2","","2"
"13-A3-j25-1","01","A3","","2"
"13-A4-j25-1","01","A4","","2"
"13-A6-j25-1","01","A6","","2"
"13-A7-j25-1","01","A7","","2"
"13-A8-j25-1","01","A8","","2"
"13-A98-j25-1","01","A98","","2"
"13-A99-j25-1","01","A99","","2"
"13-AD3-j25-1","01","AD3","","2"
"13-CH2-j25-1","01","CH2","","2"
"13-D7-j25-1","01","D7","","2"
"13-E8-j25-1","01","E8","","2"
"14-A3-j25-1","01","A3","","2"
"14-A7-j25-1","01","A7","","2"
"14-A95-j25-1","01","A95","","2"
"14-A96-j25-1","01","A96","","2"
"14-A97-j25-1","01","A97","","2"
"14-A98-j25-1","01","A98","","2"
"15-CAT-j25-1","08","CAT","","2"
"1-MB4-j25-1","10","S4","S4","2"
"1-MS1-V-j25-1","10","S1","S1","2"
"1-S1-K-j25-1","01","S1","S1","2"
"1-S1-M-j25-1","01","S1","S1","2"
"1-S1-O-j25-1","01","S1","S1","2"
"1-S1-V-j25-1","01","S1","S1","2"
"1-S1-W-j25-1","01","S1","S1","2"
"1-S2-K-j25-1","01","S2","S2","2"
"1-S2-O-j25-1","01","S2","S2","2"
"1-S2-S-j25-1","01","S2","S2","2"
"1-S2-V-j25-1","01","S2","S2","2"
"1-S2-W-j25-1","01","S2","S2","2"
"1-S3-K-j25-1","01","S3","S3","2"
"1-S3-M-j25-1","01","S3","S3","2"
"1-S3-O-j25-1","01","S3","S3","2"
"1-S3-S-j25-1","01","S3","S3","2"
"1-S3-V-j25-1","01","S3","S3","2"
"1-S3-W-j25-1","01","S3","S3","2"
"1-S40-W-j25-1","01","S40","S40","2"
"1-S45-W-j25-1","01","S45","S45","2"
"1-S4-K-j25-1","01","S4","S4","2"
"1-S4-O-j25-1","01","S4","S4","2"
"1-S4-T-j25-1","01","S4","S4","2"
"1-S4-W-j25-1","01","S4","S4","2"
"1-S50-W-j25-1","01","S50","S50","2"
"1-S51-M-j25-1","01","S51","S51","2"
"1-S5-K-j25-1","01","S5","S5","2"
"1-S5-M-j25-1","01","S5","S5","2"
"1-S60-W-j25-1","01","S60","S60","2"
"1-S6-T-j25-1","01","S6","S6","2"
"1-S7-V-j25-1","01","S7","S7","2"
"1-S7-W-j25-1","01","S7","S7","2"
"1-S80-W-j25-1","01","S80","S80","2"
"1-S8-M-j25-1","01","S8","S8","2"
"1-S8-T-j25-1","01","S8","S8","2"
"1-S9-M-j25-1","01","S9","S9","2"
"1-SO2-T-j25-1","01","S2","S2","2"
"1-SS4-T-j25-1","01","S4","S4","2"
"1-ST3-T-j25-1","01","S3","S3","2"
"1-ST4-T-j25-1","01","S4","S4","2"
"20-SV1-A-j25-1","01","SV113","SV113","3"
"20-SV1-B-j25-1","01","SV113","SV113","3"
"20-SV1-C-j25-1","01","SV142","SV142","3"
"20-SV1-D-j25-1","01","SV171","SV171","3"
"20-SV2-B-j25-1","01","SV220","SV220","3"
"20-SV2-C-j25-1","01","SV220","SV220","3"
"20-SV2-D-j25-1","01","SV220","SV220","3"
"20-SV7-A-j25-1","01","SV700","SV700","3"
"20-SV9-A-j25-1","01","SV901","SV901","3"
"2-220-K-j25-1","01","220-K","","2"
