stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:41:3087:0:2","Bad Sauerbrunn Bahnhof","47.77385810","16.32485908","","","Pat:41:3087","Level 0","2"
"at:41:3087:2","Bus","47.77422637","16.32450874","","","Pat:41:3087","Level 0",""
"at:41:3087:3","Zugang","47.77394866","16.32435603","","2","Pat:41:3087","Level 0",""
"at:41:3087:4","P+R","47.77257820","16.32569451","","3","Pat:41:3087","Level 0",""
"at:41:3087:5","B+R","47.77378565","16.32462552","","3","Pat:41:3087","Level 0",""
"at:41:3186:0:1","Breitenbrunn Bahnhof","47.94122902","16.74638455","","","Pat:41:3186","Level 0","1"
"at:41:3186:3","Zugang","47.94124707","16.74598929","","2","Pat:41:3186","Level 0",""
"at:41:3186:4","P+R","47.94148778","16.74627675","","3","Pat:41:3186","Level 0",""
"at:41:3294:0:1","Deutschkreutz Bahnhof","47.60382685","16.62005447","","","Pat:41:3294","Level 0","1"
"at:41:3294:2","Bus","47.60349372","16.62060244","","","Pat:41:3294","Level 0",""
"at:41:3294:3","Zugang","47.60373600","16.62012633","","2","Pat:41:3294","Level 0",""
"at:41:3294:4","P+R","47.60358458","16.62054854","","3","Pat:41:3294","Level 0",""
"at:41:3298:0:1","Donnerskirchen Bahnhof","47.88857101","16.66041577","","","Pat:41:3298","Level 0","1"
"at:41:3298:3","Zugang","47.88848667","16.66020018","","2","Pat:41:3298","Level 0",""
"at:41:3298:4","P+R","47.88855896","16.66020018","","3","Pat:41:3298","Level 0",""
"at:41:3351:0:4","Eisenstadt Bahnhof","47.83939287","16.52943242","","","Pat:41:3351","Level 0","2"
"at:41:3351:0:5","Eisenstadt Bahnhof","47.83935669","16.52948632","","","Pat:41:3351","Level 0","3"
"at:41:3351:2","Bus","47.83937478","16.52864190","","","Pat:41:3351","Level 0",""
"at:41:3351:3","Zugang","47.83942302","16.52912699","","2","Pat:41:3351","Level 0",""
"at:41:3351:4","P+R","47.83983303","16.52980971","","3","Pat:41:3351","Level 0",""
"at:41:3443:0:1","Frauenkirchen Bahnhof","47.83977273","16.91585172","","","Pat:41:3443","Level 0","1"
"at:41:3443:2","Bus","47.84003803","16.91609427","","","Pat:41:3443","Level 0",""
"at:41:3443:3","Zugang","47.84021892","16.91650749","","2","Pat:41:3443","Level 0",""
"at:41:3443:4","P+R","47.84023097","16.91680394","","3","Pat:41:3443","Level 0",""
"at:41:3490:0:1","Eisenstadt Schule","47.84387266","16.53669979","","","Pat:41:3490","Level 0","1"
"at:41:3490:2","Zugang","47.84389678","16.53628657","","2","Pat:41:3490","Level 0",""
"at:41:3531:0:1","Gols Bahnhof","47.89190210","16.90464075","","","Pat:41:3531","Level 0","1"
"at:41:3531:2","Bus","47.89236591","16.90443414","","","Pat:41:3531","Level 0",""
"at:41:3531:3","Zugang","47.89213100","16.90480245","","2","Pat:41:3531","Level 0",""
"at:41:3531:4","P+R","47.89216714","16.90473956","","3","Pat:41:3531","Level 0",""
