route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"10-A10-j25-1","TA+gvw20","1.TA.10-A10-j25-1.1.R","10-A10-j25-1.1.R","Villach Hauptbahnhof","RJ 639","1",""
"10-A10-j25-1","TA+evw20","2.TA.10-A10-j25-1.2.R","10-A10-j25-1.2.R","Spittal-Millstätter See Bahnhof","RJ 639","1",""
"10-A11-j25-1","TA+07y20","1.TA.10-A11-j25-1.1.R","10-A11-j25-1.1.R","Budapest-Keleti","RJX 165","1","430"
"10-A11-j25-1","TA+nqw20","10.TA.10-A11-j25-1.3.H","10-A11-j25-1.3.H","Zürich HB","RJX 264","0",""
"10-A11-j25-1","TA+fww20","11.TA.10-A11-j25-1.4.H","10-A11-j25-1.4.H","Salzburg Hauptbahnhof","RJX 264","0",""
"10-A11-j25-1","TA+31y20","12.TA.10-A11-j25-1.5.H","10-A11-j25-1.5.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j25-1","TA+41y20","13.TA.10-A11-j25-1.5.H","10-A11-j25-1.5.H","Feldkirch Bahnhof","RJX 566","0",""
"10-A11-j25-1","TA+51y20","14.TA.10-A11-j25-1.5.H","10-A11-j25-1.5.H","Feldkirch Bahnhof","RJX 562","0",""
"10-A11-j25-1","TA+11y20","15.TA.10-A11-j25-1.5.H","10-A11-j25-1.5.H","Feldkirch Bahnhof","RJX 562","0",""
"10-A11-j25-1","TA+qww20","16.TA.10-A11-j25-1.5.H","10-A11-j25-1.5.H","Feldkirch Bahnhof","RJX 560","0",""
"10-A11-j25-1","TA+aww20","17.TA.10-A11-j25-1.6.H","10-A11-j25-1.6.H","Dornbirn Bahnhof","RJX 760","0",""
"10-A11-j25-1","TA+bqw20","2.TA.10-A11-j25-1.1.R","10-A11-j25-1.1.R","Budapest-Keleti","RJX 165","1","431"
"10-A11-j25-1","TA+11y20","3.TA.10-A11-j25-1.1.R","10-A11-j25-1.1.R","Budapest-Keleti","RJX 165","1","432"
"10-A11-j25-1","TA+17y20","4.TA.10-A11-j25-1.2.R","10-A11-j25-1.2.R","Flughafen Wien Bahnhof","RJX 567","1",""
"10-A11-j25-1","TA+61y20","5.TA.10-A11-j25-1.2.R","10-A11-j25-1.2.R","Flughafen Wien Bahnhof","RJX 567","1",""
"10-A11-j25-1","TA+07y20","6.TA.10-A11-j25-1.2.R","10-A11-j25-1.2.R","Flughafen Wien Bahnhof","RJX 565","1",""
"10-A11-j25-1","TA+11y20","7.TA.10-A11-j25-1.2.R","10-A11-j25-1.2.R","Flughafen Wien Bahnhof","RJX 565","1",""
"10-A12-j25-1","TA+h8x20","10.TA.10-A12-j25-1.4.R","10-A12-j25-1.4.R","Wien Hauptbahnhof","RJ 1252","1",""
"10-A12-j25-1","TA","11.TA.10-A12-j25-1.5.R","10-A12-j25-1.5.R","Wien Hauptbahnhof","RJ 850","1",""
"10-A12-j25-1","TA","12.TA.10-A12-j25-1.6.R","10-A12-j25-1.6.R","Flughafen Wien Bahnhof","RJ 754","1",""
"10-A12-j25-1","TA","13.TA.10-A12-j25-1.6.R","10-A12-j25-1.6.R","Flughafen Wien Bahnhof","RJ 750","1",""
"10-A12-j25-1","TA","14.TA.10-A12-j25-1.6.R","10-A12-j25-1.6.R","Flughafen Wien Bahnhof","RJ 554","1",""
"10-A12-j25-1","TA","15.TA.10-A12-j25-1.7.R","10-A12-j25-1.7.R","Flughafen Wien Bahnhof","RJ 558","1",""
"10-A12-j25-1","TA","16.TA.10-A12-j25-1.7.R","10-A12-j25-1.7.R","Flughafen Wien Bahnhof","RJ 656","1",""
"10-A12-j25-1","TA","17.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 74","1",""
"10-A12-j25-1","TA+6ky20","18.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA+5dx20","19.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA+vrw20","2.TA.10-A12-j25-1.2.R","10-A12-j25-1.2.R","Flughafen Wien Bahnhof","RJ 821","1",""
"10-A12-j25-1","TA+n4x20","20.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA","21.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 78","1",""
"10-A12-j25-1","TA","22.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 72","1",""
"10-A12-j25-1","TA+hsy20","23.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA+jfy20","24.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA+alx20","25.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA+kfy20","26.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA","27.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 372","1",""
"10-A12-j25-1","TA+ckx20","28.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA+3mx20","29.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 256","1",""
"10-A12-j25-1","TA","3.TA.10-A12-j25-1.2.R","10-A12-j25-1.2.R","Flughafen Wien Bahnhof","RJ 1021","1",""
"10-A12-j25-1","TA","30.TA.10-A12-j25-1.8.R","10-A12-j25-1.8.R","Praha hlavní nádraží","RJ 370","1",""
"10-A12-j25-1","TA","31.TA.10-A12-j25-1.9.R","10-A12-j25-1.9.R","Brno hlavní nádraží","RJ 374","1",""
"10-A12-j25-1","TA","32.TA.10-A12-j25-1.10.H","","Ljubljana železniška postaja","D 157","0","433"
"10-A12-j25-1","TA+h8x20","33.TA.10-A12-j25-1.11.H","10-A12-j25-1.11.H","Graz Hauptbahnhof","RJ 1255","0",""
"10-A12-j25-1","TA","34.TA.10-A12-j25-1.12.H","10-A12-j25-1.12.H","Graz Hauptbahnhof","RJ 653","0",""
"10-A12-j25-1","TA","35.TA.10-A12-j25-1.12.H","10-A12-j25-1.12.H","Graz Hauptbahnhof","RJ 657","0",""
"10-A12-j25-1","TA","36.TA.10-A12-j25-1.12.H","10-A12-j25-1.12.H","Graz Hauptbahnhof","RJ 553","0",""
"10-A12-j25-1","TA","37.TA.10-A12-j25-1.12.H","10-A12-j25-1.12.H","Graz Hauptbahnhof","RJ 559","0",""
"10-A12-j25-1","TA","38.TA.10-A12-j25-1.12.H","10-A12-j25-1.12.H","Graz Hauptbahnhof","RJ 755","0",""
"10-A12-j25-1","TA+elx20","39.TA.10-A12-j25-1.13.H","10-A12-j25-1.13.H","Graz Hauptbahnhof","RJ 853","0",""
"10-A12-j25-1","TA","4.TA.10-A12-j25-1.2.R","10-A12-j25-1.2.R","Flughafen Wien Bahnhof","RJ 1023","1",""
"10-A12-j25-1","TA","40.TA.10-A12-j25-1.14.H","10-A12-j25-1.14.H","Graz Hauptbahnhof","RJ 73","0",""
"10-A12-j25-1","TA","41.TA.10-A12-j25-1.14.H","10-A12-j25-1.14.H","Graz Hauptbahnhof","RJ 373","0",""
"10-A12-j25-1","TA+0sw20","42.TA.10-A12-j25-1.14.H","10-A12-j25-1.14.H","Graz Hauptbahnhof","RJ 71","0",""
"10-A12-j25-1","TA+1sw20","43.TA.10-A12-j25-1.14.H","10-A12-j25-1.14.H","Graz Hauptbahnhof","RJ 71","0",""
"10-A12-j25-1","TA","44.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 75","0",""
"10-A12-j25-1","TA+nfy20","45.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 257","0",""
"10-A12-j25-1","TA","46.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 371","0",""
"10-A12-j25-1","TA+1ly20","47.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 257","0",""
"10-A12-j25-1","TA+2ly20","48.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 257","0",""
"10-A12-j25-1","TA+0ly20","49.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 257","0",""
"10-A12-j25-1","TA","5.TA.10-A12-j25-1.2.R","10-A12-j25-1.2.R","Flughafen Wien Bahnhof","RJ 1025","1",""
"10-A12-j25-1","TA","50.TA.10-A12-j25-1.15.H","10-A12-j25-1.15.H","Graz Hauptbahnhof","RJ 79","0",""
"10-A12-j25-1","TA","6.TA.10-A12-j25-1.2.R","10-A12-j25-1.2.R","Flughafen Wien Bahnhof","RJ 1029","1",""
"10-A12-j25-1","TA+72x20","7.TA.10-A12-j25-1.2.R","10-A12-j25-1.2.R","Flughafen Wien Bahnhof","RJX 567","1",""
"10-A12-j25-1","TA","8.TA.10-A12-j25-1.3.R","10-A12-j25-1.3.R","Praha hlavní nádraží","RJ 70","1",""
